Parcel ID,True Positive,False Negative,Adjusted IoU
0,17716.304716467628,538.9878801942978,0.9704749799357993
1,0.0,10.338433093833848,0.0
2,10791.026120109002,138.19140710790816,0.9873557821716173
3,2354.1964959387024,879.6555393356953,0.7279852232753578
4,1788.9042177286774,77.91190850976977,0.9582648192209702
5,1960.8462941755497,94.38694441656753,0.9540748258425283
6,2201.1154387560096,30.312327823776286,0.9864157252689217
7,4138.293169508308,891.8383209760368,0.8227007936744487
8,16455.6710465064,206.50569056617678,0.9876063197609283
9,7609.537587898755,2265.06121870502,0.7706173928615481
10,17209.979527824253,1916.3573222969717,0.8998053136199562
11,9842.607478094975,1727.5709013390697,0.850687617365535
12,2062.4498322374025,236.79699629848938,0.8970110588564881
13,2132.6652561630426,122.3169029831356,0.945757041807617
14,986.736209686567,231.08661766557134,0.8102461109486563
15,2460.381182483355,497.53030175225877,0.8317967578124363
16,18649.50034785096,1141.1274026041065,0.9423400097767052
17,12715.592858019774,826.7201266390493,0.9389528120066649
18,20744.32278238246,2975.7005297268843,0.8745490048398159
19,17595.800945926974,1978.1080185336104,0.89894159505262
20,134.4567003873125,344.09248801622596,0.280967356429683
21,276.15505427354947,86.28949370327086,0.7619235985616498
22,4455.222639648798,102.39260589617697,0.9775337319234517
23,4651.413008929284,1439.0667435973091,0.7637186556608578
24,31072.112464211827,4194.834334014722,0.8810547916717966
25,26116.167382746688,1781.67737869357,0.936135662309077
26,33805.719752074874,2837.692095773491,0.9225592827557592
27,11771.491564778276,2725.2862244347543,0.8120074499270711
28,7768.33507246399,1571.2185349647452,0.8317672770018699
29,1075.2635808406294,1199.501353272322,0.47269217347063175
30,12768.878910973523,1154.2097127932138,0.9171010295213537
31,5622.467914777627,876.5796922097034,0.8651218231934068
32,12432.476157555811,10406.876641433733,0.5443445034093018
33,8367.76001374227,6103.490004803149,0.578233394006647
34,6787.352155416216,2087.2562415513185,0.764805820359968
35,275.0,1683.1708359963761,0.14043718502225153
36,2526.2530950926475,1612.4897012394285,0.6103914206341879
37,7356.169072132965,2381.1324640560542,0.7554627988866841
38,3999.506216113278,1318.6141897861794,0.7520525882935211
39,0.0,27.815467704659874,0.0
40,0.0,744.2887115491359,0.0
41,6209.703439436113,959.0435734302391,0.8662188006203925
42,2879.3467948276584,534.9151524658814,0.8433291994804603
43,439.63671795172144,1977.5592938046193,0.1818788032966678
44,0.0,62.69648372923083,0.0
45,10035.905780848925,1739.2536793034742,0.8522946814275274
